option_id,question_id,option_value,option_label,option_keywords,display_order
other_rd,contract_types,other_rd,Other R&D,,6
production,contract_types,production,Production Contracts,,7
none_contract,contract_types,none,No prior contracts,,8
under_150k,preferred_contract_size,under_150k,Under $150K,,1
150k_250k,preferred_contract_size,150k_250k,$150K - $250K,,2
250k_plus,preferred_contract_size,250k_plus,$250K+,,3
any_size,preferred_contract_size,any,Any size,,4
conservative,risk_tolerance,conservative,Conservative - Prefer well-defined lower-risk opportunities,,1
moderate,risk_tolerance,moderate,Moderate - Balance of risk and reward,,2
aggressive,risk_tolerance,aggressive,Aggressive - Willing to tackle high-risk high-reward challenges,,3
short,timeline_preference,short,Short-term (< 6 months),,1
medium,timeline_preference,medium,Medium-term (6-12 months),,2
long,timeline_preference,long,Long-term (12+ months),,3
flexible,timeline_preference,flexible,Flexible,,4
none_clearance,clearance_level,none,No clearances,,1
public_trust,clearance_level,public_trust,Public Trust,,2
secret,clearance_level,secret,Secret,,3
top_secret,clearance_level,top_secret,Top Secret,,4
ts_sci,clearance_level,ts_sci,TS/SCI,,5
yes_facility,facility_clearance,yes,Yes,,1
in_process,facility_clearance,in_process,In Process,,2
no_facility,facility_clearance,no,No,,3
iso9001,certifications,iso9001,ISO 9001,,1
cmmi,certifications,cmmi,CMMI,,2
iso27001,certifications,iso27001,ISO 27001,,3
as9100,certifications,as9100,AS9100,,4
nist_800_171,certifications,nist_800_171,NIST 800-171 Compliant,,5
fedramp,certifications,fedramp,FedRAMP,,6
other_cert,certifications,other,Other,,7
none_cert,certifications,none,None,,8
novel_algorithms,innovation_areas,novel_algorithms,Novel Algorithms/Methods,,1
proprietary_tech,innovation_areas,proprietary_tech,Proprietary Technology,,2
unique_expertise,innovation_areas,unique_expertise,Unique Domain Expertise,,3
cost_reduction,innovation_areas,cost_reduction,Cost Reduction Innovations,,4
speed_efficiency,innovation_areas,speed_efficiency,Speed/Efficiency Improvements,,5
integration,innovation_areas,integration,System Integration Excellence,,6
partnerships,innovation_areas,partnerships,Strategic Partnerships,,7
